iter	Passed	Remaining
0	3	3411
1	6	3366
2	10	3380
3	13	3384
4	16	3363
5	20	3394
6	23	3368
7	27	3350
8	30	3334
9	33	3340
10	37	3382
11	40	3367
12	44	3377
13	47	3368
14	51	3383
15	55	3391
16	58	3383
17	61	3373
18	65	3371
19	69	3382
20	72	3388
21	76	3394
22	79	3380
23	83	3383
24	86	3384
25	90	3388
26	93	3386
27	97	3382
28	101	3384
29	104	3380
30	108	3380
31	111	3368
32	114	3361
33	118	3355
34	121	3347
35	125	3349
36	128	3351
37	132	3344
38	135	3339
39	138	3334
40	142	3329
41	145	3324
42	149	3322
43	152	3318
44	156	3311
45	159	3305
46	163	3310
47	166	3305
48	170	3302
49	173	3298
50	177	3297
51	180	3299
52	184	3292
53	187	3286
54	190	3279
55	194	3274
56	197	3275
57	201	3271
58	204	3265
59	208	3259
60	211	3257
61	214	3251
62	218	3246
63	221	3242
64	225	3238
65	228	3238
66	232	3238
67	235	3234
68	239	3229
69	242	3224
70	246	3220
71	249	3215
72	252	3210
73	256	3211
74	260	3208
75	263	3204
76	266	3199
77	270	3194
78	274	3198
79	277	3194
80	281	3192
81	285	3195
82	288	3189
83	291	3184
84	295	3178
85	298	3176
86	302	3172
87	305	3168
88	309	3164
89	312	3159
90	315	3153
91	319	3149
92	323	3157
93	327	3152
94	330	3146
95	334	3145
96	337	3142
97	341	3139
98	344	3135
99	348	3132
100	351	3126
101	354	3121
102	358	3118
103	361	3115
104	365	3112
105	368	3111
106	372	3107
107	375	3103
108	379	3098
109	382	3094
110	385	3091
111	389	3086
112	392	3082
113	396	3078
114	399	3073
115	402	3068
116	405	3062
117	409	3057
118	412	3053
119	415	3049
120	419	3046
121	422	3041
122	426	3038
123	429	3035
124	432	3030
125	436	3026
126	439	3022
127	443	3018
128	446	3015
129	449	3011
130	453	3008
131	456	3004
132	460	3000
133	463	2997
134	467	2992
135	470	2987
136	473	2984
137	477	2981
138	480	2977
139	483	2971
140	487	2967
141	490	2964
142	494	2961
143	497	2957
144	500	2953
145	504	2951
146	507	2947
147	511	2942
148	514	2937
149	517	2933
150	520	2928
151	524	2924
152	527	2920
153	530	2917
154	534	2913
155	537	2909
156	540	2904
157	544	2901
158	547	2898
159	551	2894
160	554	2890
161	558	2886
162	561	2883
163	564	2879
164	568	2876
165	571	2872
166	575	2870
167	579	2868
168	582	2864
169	586	2862
170	589	2859
171	593	2855
172	596	2851
173	599	2847
174	603	2844
175	606	2841
176	610	2837
177	613	2833
178	617	2830
179	620	2826
180	623	2822
181	627	2818
182	630	2814
183	633	2811
184	637	2807
185	640	2803
186	643	2799
187	647	2795
188	650	2791
189	653	2787
190	657	2783
191	660	2780
192	664	2776
193	667	2772
194	670	2769
195	674	2765
196	677	2762
197	681	2759
198	684	2756
199	688	2752
200	691	2748
201	695	2746
202	698	2742
203	702	2741
204	705	2737
205	709	2733
206	712	2730
207	715	2726
208	719	2722
209	722	2718
210	726	2715
211	729	2711
212	732	2708
213	736	2704
214	739	2701
215	743	2697
216	746	2693
217	750	2691
218	753	2687
219	757	2685
220	760	2682
221	764	2678
222	767	2674
223	770	2670
224	774	2667
225	777	2663
226	781	2659
227	784	2656
228	788	2653
229	791	2649
230	794	2645
231	797	2641
232	801	2638
233	804	2634
234	808	2631
235	811	2627
236	815	2625
237	818	2622
238	822	2619
239	825	2615
240	829	2612
241	832	2609
242	836	2605
243	839	2602
244	843	2598
245	846	2594
246	849	2590
247	853	2586
248	856	2582
249	859	2579
250	863	2576
251	866	2572
252	870	2568
253	873	2565
254	876	2561
255	880	2557
256	883	2555
257	887	2551
258	890	2548
259	893	2544
260	897	2540
261	900	2537
262	904	2533
263	907	2530
264	910	2526
265	914	2522
266	917	2519
