Model,Model_Key,Family,Train_mean_AUC,Train_std_AUC,Train_mean_time,Test_AUC,Test_Sensitivity,Test_Specificity,Test_TP,Test_TN,Test_FP,Test_FN,Test_time
LightGBM,lgbm,sklearn,0.9958426264132036,0.001035291759994689,4.931300163269043,0.9492827440846723,0.9863760217983651,0.6783216783216783,4706,97,46,65,4.956069231033325
Random Forest,rf,sklearn,0.9949176860000779,0.001397197381256857,7.447145938873291,0.9432234083250642,0.98826241878013,0.6013986013986014,4715,86,57,56,10.07055377960205
CatBoost,catboost,sklearn,0.9855021229171619,0.0019166128648783454,1.2766382217407226,0.9356089309977383,0.9381680989310417,0.8111888111888111,4476,116,27,295,1.3776483535766602
CNN-LSTM,cnn_lstm,deep_learning,0.983683418753807,0.0024602036450618713,340.930061006546,0.9294785072399829,0.9553552714315657,0.6993006993006993,4558,100,43,213,651.2294518947601
Extra Trees,extra_trees,sklearn,0.9826112753666916,0.0019281398868219348,0.7478025913238525,0.9208753937322371,0.9966464053657514,0.36363636363636365,4755,52,91,16,0.8841261863708496
XGBoost,xgb,sklearn,0.9804351705515592,0.002133556754225434,0.6674460411071778,0.9190029212037177,0.9958080067071893,0.5104895104895105,4751,73,70,20,0.6901109218597412
Dilated-CNN,dilated_cnn,deep_learning,0.9523184601898578,0.0020535617994974754,71.83692636489869,0.9040180109138399,0.945713686858101,0.6853146853146853,4512,98,45,259,123.31456899642944
MLP,mlp,sklearn,0.9946625159960967,0.001651251469272536,33.68148231506348,0.9019586575654486,0.9872144204569273,0.5804195804195804,4710,83,60,61,56.08308506011963
ResNet-1D,resnet1d,deep_learning,0.9683791222145812,0.001240660082945237,58.88801856040955,0.9013738305291438,0.9182561307901907,0.7342657342657343,4381,105,38,390,109.99619817733765
Attention-CNN,attn_cnn,deep_learning,0.9408339106947713,0.003598807749328911,128.96963534355163,0.876465182271093,0.9241249214001258,0.7132867132867133,4409,102,41,362,238.1324532032013
1D-CNN (Base),cnn_base,deep_learning,0.8958893596002685,0.04368436881162358,51.565857315063475,0.8607686591337818,0.8419618528610354,0.7132867132867133,4017,102,41,754,96.63943886756897
Logistic Regression,logreg,sklearn,0.8524481982699488,0.003938159727709483,0.3202683925628662,0.8249124591610443,0.8157618947809684,0.7062937062937062,3892,101,42,879,0.35302305221557617
