Model,Model_Key,Family,Train_mean_AUC,Train_std_AUC,Train_mean_time,Test_AUC,Test_Sensitivity,Test_Specificity,Test_TP,Test_TN,Test_FP,Test_FN,Test_time
Random Forest,rf,sklearn,0.9369524284613625,0.008419048710820387,5.1722400188446045,0.9466158448552077,0.9985328023475163,0.35664335664335667,4764,51,92,7,6.635290861129761
LightGBM,lgbm,sklearn,0.9309820348163964,0.003231408094516821,4.842282009124756,0.9440398210048179,0.9937120100607839,0.5804195804195804,4741,83,60,30,4.941116809844971
CatBoost,catboost,sklearn,0.9169007958049971,0.013683196938381756,1.16886248588562,0.9376243123885127,0.9404736952420876,0.7972027972027972,4487,114,29,284,1.2304823398590088
CNN-LSTM,cnn_lstm,deep_learning,0.9049953471341621,0.015655532346376202,289.0331118106842,0.927998118000214,0.9008593586250262,0.8041958041958042,4298,115,28,473,544.7296850681305
Extra Trees,extra_trees,sklearn,0.9187312916084576,0.012210558464449805,0.5921695709228516,0.9257504181000304,0.999580800670719,0.1958041958041958,4769,28,115,2,0.6535120010375977
XGBoost,xgb,sklearn,0.9101574010244914,0.010540303765009617,0.6545656681060791,0.9164642735173022,0.9993712010060783,0.2727272727272727,4768,39,104,3,0.6770639419555664
MLP,mlp,sklearn,0.8849102172072468,0.012936251066823853,8.544775819778442,0.9085654441973872,0.9937120100607839,0.44755244755244755,4741,64,79,30,8.54082703590393
ResNet-1D,resnet1d,deep_learning,0.891771413633794,0.011192249468233686,49.7190477848053,0.8950257455811848,0.9014881576189478,0.7272727272727273,4301,104,39,470,91.45986580848694
Dilated-CNN,dilated_cnn,deep_learning,0.8746219364525105,0.009186256440988708,59.80175733566284,0.8875505127863124,0.7122196604485432,0.8741258741258742,3398,125,18,1373,112.53516912460327
1D-CNN (Base),cnn_base,deep_learning,0.8653738188695048,0.02843828221917097,44.19330859184265,0.8713644351875331,0.7501571997484804,0.8041958041958042,3579,115,28,1192,81.87695717811584
Attention-CNN,attn_cnn,deep_learning,0.8386770023638277,0.01404684155168166,112.96094083786011,0.8533505898838114,0.756235590023056,0.7902097902097902,3608,113,30,1163,199.02929210662842
