Model,Model_Key,Family,Train_mean_AUC,Train_std_AUC,Train_mean_time,Test_AUC,Test_Sensitivity,Test_Specificity,Test_TP,Test_TN,Test_FP,Test_FN,Test_time
LightGBM,lgbm,sklearn,0.997706284994659,0.0004894351170833675,5.040251302719116,0.9503673857058892,0.9821840285055544,0.6923076923076923,4686,99,44,85,5.126013278961182
Random Forest,rf,sklearn,0.9971058668848567,0.0005569150142102014,9.178815841674805,0.9412959708495237,0.9823936281701949,0.6573426573426573,4687,94,49,84,11.96316385269165
CNN-LSTM,cnn_lstm,deep_learning,0.9882071940472168,0.0008474843798116559,408.4572772502899,0.9376932017887792,0.9467616851813037,0.7412587412587412,4517,106,37,254,757.7796678543091
CatBoost,catboost,sklearn,0.9874332935117577,0.0008606382711240191,1.3545153617858887,0.9330409686729118,0.9404736952420876,0.8111888111888111,4487,116,27,284,1.4558658599853516
MLP,mlp,sklearn,0.9965417586262385,0.0006205486624401563,32.54579491615296,0.9323879851023008,0.985537623139803,0.6083916083916084,4702,87,56,69,40.21491289138794
XGBoost,xgb,sklearn,0.9832888007050492,0.0010273974060916904,0.7013876438140869,0.9227163530244644,0.9840704254873193,0.6573426573426573,4695,94,49,76,0.7136330604553223
Extra Trees,extra_trees,sklearn,0.9857184179335234,0.0010840308643568913,0.9174685955047608,0.920698040169849,0.9846992244812408,0.5174825174825175,4698,74,69,73,1.065351963043213
Dilated-CNN,dilated_cnn,deep_learning,0.9594426842564386,0.0011634544215860377,76.07590036392212,0.9125133931254243,0.8664850136239782,0.8181818181818182,4134,117,26,637,141.4287440776825
ResNet-1D,resnet1d,deep_learning,0.9721438567890732,0.002127494610735143,72.09393601417541,0.9017109488708734,0.9004401592957452,0.7342657342657343,4296,105,38,475,135.46090006828308
Attention-CNN,attn_cnn,deep_learning,0.9486899300112004,0.0032161766933045417,151.47137956619264,0.8776069874372118,0.9014881576189478,0.7132867132867133,4301,102,41,470,278.47960901260376
1D-CNN (Base),cnn_base,deep_learning,0.9338509339694575,0.00472528894202197,61.29903059005737,0.8291022538559742,0.8306434709704464,0.7062937062937062,3963,101,42,808,113.40866613388062
Logistic Regression,logreg,sklearn,0.8543276870983304,0.0007322305825403258,0.3766817092895508,0.8248274467096516,0.8147138964577657,0.7062937062937062,3887,101,42,884,0.4935798645019531
