Model,Model_Key,Family,Train_mean_AUC,Train_std_AUC,Train_mean_time,Test_AUC,Test_Sensitivity,Test_Specificity,Test_TP,Test_TN,Test_FP,Test_FN,Test_time
LightGBM,lgbm,sklearn,0.9983306198150673,0.0002376503407447845,5.111942005157471,0.9466942615129578,0.9805072311884301,0.6993006993006993,4678,100,43,93,5.2179670333862305
Random Forest,rf,sklearn,0.998217855546633,0.00028924405417531254,11.81234426498413,0.9416081717486036,0.9782016348773842,0.6923076923076923,4667,99,44,104,15.427468061447144
CatBoost,catboost,sklearn,0.9881561050357348,0.0008665133759664696,1.4143898010253906,0.9316778379867878,0.9381680989310417,0.8111888111888111,4476,116,27,295,1.5543317794799805
CNN-LSTM,cnn_lstm,deep_learning,0.9912859213445605,0.0005403374653646488,494.9228036403656,0.927969536227763,0.960176063718298,0.6853146853146853,4581,98,45,190,946.8532569408417
Extra Trees,extra_trees,sklearn,0.9880313487225202,0.0010551774085521739,1.0198334217071534,0.922090485494384,0.9553552714315657,0.7342657342657343,4558,105,38,213,1.1845011711120605
XGBoost,xgb,sklearn,0.9844686427832536,0.0012139924387110986,0.7148782253265381,0.9202978953555354,0.9400544959128065,0.7692307692307693,4485,110,33,286,0.7537539005279541
Dilated-CNN,dilated_cnn,deep_learning,0.9620937934847505,0.0008825599749234161,95.50372419357299,0.9141066437230763,0.8404946552085517,0.8461538461538461,4010,121,22,761,181.54865384101868
MLP,mlp,sklearn,0.997260873696522,0.00023185682373326187,49.249395275115965,0.9106929540800847,0.9798784321945085,0.6573426573426573,4675,94,49,96,104.7515971660614
ResNet-1D,resnet1d,deep_learning,0.9759276815231864,0.00192558333796211,84.43254661560059,0.9019198156695536,0.9446656885348983,0.6643356643356644,4507,95,48,264,156.94665789604187
Attention-CNN,attn_cnn,deep_learning,0.9518937905012764,0.004273632792081506,187.64100885391235,0.8926116851080171,0.874240201215678,0.7622377622377622,4171,109,34,600,630.4478418827057
1D-CNN (Base),cnn_base,deep_learning,0.9307125670099439,0.010622560028465018,74.66668434143067,0.873831262009841,0.8132466988052819,0.7762237762237763,3880,111,32,891,143.2567901611328
