Model,Model_Key,Family,Train_mean_AUC,Train_std_AUC,Train_mean_time,Test_AUC,Test_Sensitivity,Test_Specificity,Test_TP,Test_TN,Test_FP,Test_FN,Test_time
LightGBM,lgbm,sklearn,0.999048347576603,0.00030701695832529647,5.8902746677398685,0.9702500392083288,0.9884720184447705,0.7692307692307693,4716,110,33,55,6.1003148555755615
CNN-LSTM,cnn_lstm,deep_learning,0.9971127640925823,0.0006725888444899569,570.5905920505523,0.9584296441349469,0.9800880318591491,0.7482517482517482,4676,107,36,95,1064.0091481208801
Random Forest,rf,sklearn,0.998399667472442,0.00038012885508069075,21.81112403869629,0.9542457123676993,0.9767344372249004,0.7622377622377622,4660,109,34,111,28.687721967697144
CatBoost,catboost,sklearn,0.9945357471965423,0.000538469981894893,1.9904613494873047,0.9526729820169351,0.9587088660658143,0.8041958041958042,4574,115,28,197,2.2145729064941406
XGBoost,xgb,sklearn,0.9929760323003837,0.0004811047184273184,1.1374209880828858,0.9500331988280007,0.962900859358625,0.7692307692307693,4594,110,33,177,1.2350728511810303
1D-CNN (Base),cnn_base,deep_learning,0.9415086678180167,0.018025674301746793,84.62866139411926,0.9253759235943264,0.65625654998952,0.9440559440559441,3131,135,8,1640,160.21068382263184
ResNet-1D,resnet1d,deep_learning,0.9747209170978431,0.006890942184612231,98.01092095375061,0.9224906303086978,0.9427792915531336,0.7552447552447552,4498,108,35,273,182.40152287483215
Dilated-CNN,dilated_cnn,deep_learning,0.946974455228452,0.004079107455656769,102.75605745315552,0.9223264683335947,0.8987633619786208,0.7762237762237763,4288,111,32,483,190.1462950706482
MLP,mlp,sklearn,0.9990193401319788,0.00035761999334497994,28.087327337265016,0.9174287251210328,0.9907776147558164,0.5944055944055944,4727,85,58,44,21.903192281723022
Attention-CNN,attn_cnn,deep_learning,0.9622610768927862,0.0022990201853794884,270.0648229598999,0.9142810658216233,0.9239153217354852,0.7482517482517482,4408,107,36,363,498.89552211761475
